date,product,category,store,price,sales,revenue
2022-01-01,iPhone 14,Electronics,Delhi Store,80000,56,4480000
2022-01-01,iPhone 14,Electronics,Mumbai Store,80000,50,4000000
2022-01-01,iPhone 14,Electronics,Chandigarh Store,80000,41,3280000
2022-01-01,Samsung TV,Electronics,Delhi Store,50000,39,1950000
2022-01-01,Samsung TV,Electronics,Mumbai Store,50000,32,1600000
2022-01-01,Samsung TV,Electronics,Chandigarh Store,50000,57,2850000
2022-01-01,Nike Shoes,Fashion,Delhi Store,5000,40,200000
2022-01-01,Nike Shoes,Fashion,Mumbai Store,5000,40,200000
2022-01-01,Nike Shoes,Fashion,Chandigarh Store,5000,23,115000
2022-01-01,Levi Jeans,Fashion,Delhi Store,3000,49,147000
2022-01-01,Levi Jeans,Fashion,Mumbai Store,3000,20,60000
2022-01-01,Levi Jeans,Fashion,Chandigarh Store,3000,56,168000
2022-01-01,Milk 1L,Grocery,Delhi Store,60,44,2640
2022-01-01,Milk 1L,Grocery,Mumbai Store,60,50,3000
2022-01-01,Milk 1L,Grocery,Chandigarh Store,60,44,2640
2022-01-01,Bread,Grocery,Delhi Store,40,21,840
2022-01-01,Bread,Grocery,Mumbai Store,40,25,1000
2022-01-01,Bread,Grocery,Chandigarh Store,40,29,1160
2022-01-01,Washing Machine,Appliances,Delhi Store,25000,35,875000
2022-01-01,Washing Machine,Appliances,Mumbai Store,25000,40,1000000
2022-01-01,Washing Machine,Appliances,Chandigarh Store,25000,32,800000
2022-01-01,Laptop HP,Electronics,Delhi Store,60000,19,1140000
2022-01-01,Laptop HP,Electronics,Mumbai Store,60000,48,2880000
2022-01-01,Laptop HP,Electronics,Chandigarh Store,60000,24,1440000
2022-01-02,iPhone 14,Electronics,Delhi Store,80000,28,2240000
2022-01-02,iPhone 14,Electronics,Mumbai Store,80000,51,4080000
2022-01-02,iPhone 14,Electronics,Chandigarh Store,80000,57,4560000
2022-01-02,Samsung TV,Electronics,Delhi Store,50000,21,1050000
2022-01-02,Samsung TV,Electronics,Mumbai Store,50000,23,1150000
2022-01-02,Samsung TV,Electronics,Chandigarh Store,50000,44,2200000
2022-01-02,Nike Shoes,Fashion,Delhi Store,5000,41,205000
2022-01-02,Nike Shoes,Fashion,Mumbai Store,5000,27,135000
2022-01-02,Nike Shoes,Fashion,Chandigarh Store,5000,35,175000
2022-01-02,Levi Jeans,Fashion,Delhi Store,3000,34,102000
2022-01-02,Levi Jeans,Fashion,Mumbai Store,3000,58,174000
2022-01-02,Levi Jeans,Fashion,Chandigarh Store,3000,31,93000
2022-01-02,Milk 1L,Grocery,Delhi Store,60,47,2820
2022-01-02,Milk 1L,Grocery,Mumbai Store,60,47,2820
2022-01-02,Milk 1L,Grocery,Chandigarh Store,60,43,2580
2022-01-02,Bread,Grocery,Delhi Store,40,45,1800
2022-01-02,Bread,Grocery,Mumbai Store,40,30,1200
2022-01-02,Bread,Grocery,Chandigarh Store,40,22,880
2022-01-02,Washing Machine,Appliances,Delhi Store,25000,40,1000000
2022-01-02,Washing Machine,Appliances,Mumbai Store,25000,38,950000
2022-01-02,Washing Machine,Appliances,Chandigarh Store,25000,51,1275000
2022-01-02,Laptop HP,Electronics,Delhi Store,60000,51,3060000
2022-01-02,Laptop HP,Electronics,Mumbai Store,60000,62,3720000
2022-01-02,Laptop HP,Electronics,Chandigarh Store,60000,48,2880000
2022-01-03,iPhone 14,Electronics,Delhi Store,80000,20,1600000
2022-01-03,iPhone 14,Electronics,Mumbai Store,80000,17,1360000
2022-01-03,iPhone 14,Electronics,Chandigarh Store,80000,43,3440000
2022-01-03,Samsung TV,Electronics,Delhi Store,50000,34,1700000
2022-01-03,Samsung TV,Electronics,Mumbai Store,50000,43,2150000
2022-01-03,Samsung TV,Electronics,Chandigarh Store,50000,49,2450000
2022-01-03,Nike Shoes,Fashion,Delhi Store,5000,33,165000
2022-01-03,Nike Shoes,Fashion,Mumbai Store,5000,7,35000
2022-01-03,Nike Shoes,Fashion,Chandigarh Store,5000,43,215000
2022-01-03,Levi Jeans,Fashion,Delhi Store,3000,9,27000
2022-01-03,Levi Jeans,Fashion,Mumbai Store,3000,36,108000
2022-01-03,Levi Jeans,Fashion,Chandigarh Store,3000,24,72000
2022-01-03,Milk 1L,Grocery,Delhi Store,60,39,2340
2022-01-03,Milk 1L,Grocery,Mumbai Store,60,28,1680
2022-01-03,Milk 1L,Grocery,Chandigarh Store,60,19,1140
2022-01-03,Bread,Grocery,Delhi Store,40,42,1680
2022-01-03,Bread,Grocery,Mumbai Store,40,39,1560
2022-01-03,Bread,Grocery,Chandigarh Store,40,38,1520
2022-01-03,Washing Machine,Appliances,Delhi Store,25000,33,825000
2022-01-03,Washing Machine,Appliances,Mumbai Store,25000,22,550000
2022-01-03,Washing Machine,Appliances,Chandigarh Store,25000,23,575000
2022-01-03,Laptop HP,Electronics,Delhi Store,60000,27,1620000
2022-01-03,Laptop HP,Electronics,Mumbai Store,60000,13,780000
2022-01-03,Laptop HP,Electronics,Chandigarh Store,60000,43,2580000
2022-01-04,iPhone 14,Electronics,Delhi Store,80000,40,3200000
2022-01-04,iPhone 14,Electronics,Mumbai Store,80000,43,3440000
2022-01-04,iPhone 14,Electronics,Chandigarh Store,80000,13,1040000
2022-01-04,Samsung TV,Electronics,Delhi Store,50000,39,1950000
2022-01-04,Samsung TV,Electronics,Mumbai Store,50000,25,1250000
2022-01-04,Samsung TV,Electronics,Chandigarh Store,50000,13,650000
2022-01-04,Nike Shoes,Fashion,Delhi Store,5000,17,85000
2022-01-04,Nike Shoes,Fashion,Mumbai Store,5000,39,195000
2022-01-04,Nike Shoes,Fashion,Chandigarh Store,5000,41,205000
2022-01-04,Levi Jeans,Fashion,Delhi Store,3000,33,99000
2022-01-04,Levi Jeans,Fashion,Mumbai Store,3000,43,129000
2022-01-04,Levi Jeans,Fashion,Chandigarh Store,3000,22,66000
2022-01-04,Milk 1L,Grocery,Delhi Store,60,8,480
2022-01-04,Milk 1L,Grocery,Mumbai Store,60,41,2460
2022-01-04,Milk 1L,Grocery,Chandigarh Store,60,21,1260
2022-01-04,Bread,Grocery,Delhi Store,40,7,280
2022-01-04,Bread,Grocery,Mumbai Store,40,37,1480
2022-01-04,Bread,Grocery,Chandigarh Store,40,31,1240
2022-01-04,Washing Machine,Appliances,Delhi Store,25000,36,900000
2022-01-04,Washing Machine,Appliances,Mumbai Store,25000,7,175000
2022-01-04,Washing Machine,Appliances,Chandigarh Store,25000,10,250000
2022-01-04,Laptop HP,Electronics,Delhi Store,60000,35,2100000
2022-01-04,Laptop HP,Electronics,Mumbai Store,60000,42,2520000
2022-01-04,Laptop HP,Electronics,Chandigarh Store,60000,14,840000
2022-01-05,iPhone 14,Electronics,Delhi Store,80000,22,1760000
2022-01-05,iPhone 14,Electronics,Mumbai Store,80000,26,2080000
2022-01-05,iPhone 14,Electronics,Chandigarh Store,80000,32,2560000
2022-01-05,Samsung TV,Electronics,Delhi Store,50000,43,2150000
2022-01-05,Samsung TV,Electronics,Mumbai Store,50000,26,1300000
2022-01-05,Samsung TV,Electronics,Chandigarh Store,50000,18,900000
2022-01-05,Nike Shoes,Fashion,Delhi Store,5000,22,110000
2022-01-05,Nike Shoes,Fashion,Mumbai Store,5000,27,135000
2022-01-05,Nike Shoes,Fashion,Chandigarh Store,5000,32,160000
2022-01-05,Levi Jeans,Fashion,Delhi Store,3000,9,27000
2022-01-05,Levi Jeans,Fashion,Mumbai Store,3000,30,90000
2022-01-05,Levi Jeans,Fashion,Chandigarh Store,3000,44,132000
2022-01-05,Milk 1L,Grocery,Delhi Store,60,44,2640
2022-01-05,Milk 1L,Grocery,Mumbai Store,60,44,2640
2022-01-05,Milk 1L,Grocery,Chandigarh Store,60,23,1380
2022-01-05,Bread,Grocery,Delhi Store,40,30,1200
2022-01-05,Bread,Grocery,Mumbai Store,40,36,1440
2022-01-05,Bread,Grocery,Chandigarh Store,40,45,1800
2022-01-05,Washing Machine,Appliances,Delhi Store,25000,29,725000
2022-01-05,Washing Machine,Appliances,Mumbai Store,25000,6,150000
2022-01-05,Washing Machine,Appliances,Chandigarh Store,25000,20,500000
2022-01-05,Laptop HP,Electronics,Delhi Store,60000,47,2820000
2022-01-05,Laptop HP,Electronics,Mumbai Store,60000,21,1260000
2022-01-05,Laptop HP,Electronics,Chandigarh Store,60000,41,2460000
2022-01-06,iPhone 14,Electronics,Delhi Store,80000,22,1760000
2022-01-06,iPhone 14,Electronics,Mumbai Store,80000,31,2480000
2022-01-06,iPhone 14,Electronics,Chandigarh Store,80000,44,3520000
2022-01-06,Samsung TV,Electronics,Delhi Store,50000,15,750000
2022-01-06,Samsung TV,Electronics,Mumbai Store,50000,15,750000
2022-01-06,Samsung TV,Electronics,Chandigarh Store,50000,49,2450000
2022-01-06,Nike Shoes,Fashion,Delhi Store,5000,26,130000
2022-01-06,Nike Shoes,Fashion,Mumbai Store,5000,31,155000
2022-01-06,Nike Shoes,Fashion,Chandigarh Store,5000,30,150000
2022-01-06,Levi Jeans,Fashion,Delhi Store,3000,23,69000
2022-01-06,Levi Jeans,Fashion,Mumbai Store,3000,47,141000
2022-01-06,Levi Jeans,Fashion,Chandigarh Store,3000,40,120000
2022-01-06,Milk 1L,Grocery,Delhi Store,60,8,480
2022-01-06,Milk 1L,Grocery,Mumbai Store,60,22,1320
2022-01-06,Milk 1L,Grocery,Chandigarh Store,60,31,1860
2022-01-06,Bread,Grocery,Delhi Store,40,18,720
2022-01-06,Bread,Grocery,Mumbai Store,40,7,280
2022-01-06,Bread,Grocery,Chandigarh Store,40,39,1560
2022-01-06,Washing Machine,Appliances,Delhi Store,25000,32,800000
2022-01-06,Washing Machine,Appliances,Mumbai Store,25000,31,775000
2022-01-06,Washing Machine,Appliances,Chandigarh Store,25000,44,1100000
2022-01-06,Laptop HP,Electronics,Delhi Store,60000,13,780000
2022-01-06,Laptop HP,Electronics,Mumbai Store,60000,25,1500000
2022-01-06,Laptop HP,Electronics,Chandigarh Store,60000,32,1920000
2022-01-07,iPhone 14,Electronics,Delhi Store,80000,11,880000
2022-01-07,iPhone 14,Electronics,Mumbai Store,80000,10,800000
2022-01-07,iPhone 14,Electronics,Chandigarh Store,80000,25,2000000
2022-01-07,Samsung TV,Electronics,Delhi Store,50000,12,600000
2022-01-07,Samsung TV,Electronics,Mumbai Store,50000,48,2400000
2022-01-07,Samsung TV,Electronics,Chandigarh Store,50000,33,1650000
